epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.9673,2.11169,0.86432,0.99084,0.34393,0.00333256,0.00333256,0.00333256
2,125.242,0.66634,0.92051,0.99501,0.2155,0.00633594,0.00633594,0.00633594
3,189.476,0.68253,0.91593,0.99394,0.21283,0.00900931,0.00900931,0.00900931
4,253.605,0.6472,0.95096,0.99582,0.1425,0.008515,0.008515,0.008515
5,319.849,0.51118,0.96295,0.99757,0.11283,0.00802,0.00802,0.00802
6,386.7,0.40394,0.96766,0.99879,0.08693,0.007525,0.007525,0.007525
7,452.931,0.35181,0.97157,0.99852,0.07516,0.00703,0.00703,0.00703
8,519.697,0.31053,0.97642,0.99892,0.06447,0.006535,0.006535,0.006535
9,587.81,0.27844,0.97885,0.99879,0.05838,0.00604,0.00604,0.00604
10,655.315,0.2646,0.98087,0.99946,0.05295,0.005545,0.005545,0.005545
11,723.56,0.23742,0.98329,0.99946,0.04937,0.00505,0.00505,0.00505
12,791.201,0.22089,0.9841,0.99946,0.04523,0.004555,0.004555,0.004555
13,859.225,0.20505,0.98504,0.99946,0.04395,0.00406,0.00406,0.00406
14,927.598,0.18772,0.98491,0.99946,0.04249,0.003565,0.003565,0.003565
15,995.318,0.17575,0.98545,0.99946,0.04112,0.00307,0.00307,0.00307
16,1063.03,0.15919,0.98626,0.99946,0.0394,0.002575,0.002575,0.002575
17,1130.83,0.14541,0.98653,0.9996,0.03812,0.00208,0.00208,0.00208
18,1198.42,0.13265,0.98707,0.9996,0.0368,0.001585,0.001585,0.001585
19,1266.11,0.11914,0.9872,0.9996,0.03569,0.00109,0.00109,0.00109
20,1332.92,0.10803,0.98787,0.9996,0.0347,0.000595,0.000595,0.000595
